season,player_name,team,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,darren mcfadden,OAK,2,1,50.0,0,0,3.8,1,0,0.0,0,0,3.4
2013,louis murphy,NYG,2,1,50.0,4,1,3.6,1,1,100.0,4,1,5.0
2013,eric page,TAM,2,0,0.0,0,0,3.8,1,0,0.0,0,0,3.8
2013,bernard pierce,BAL,2,1,50.0,2,0,2.7,0,0,,0,0,0.0
2013,devier posey,HOU,2,1,50.0,3,0,3.1,2,1,50.0,3,0,5.3
2013,allen reisner,JAX,2,1,50.0,5,0,2.6,1,1,100.0,5,0,2.4
2013,trent richardson,IND,2,1,50.0,9,1,2.7,1,1,100.0,9,1,2.9
2013,aldrick robinson,WAS,2,1,50.0,12,0,3.2,1,0,0.0,0,0,3.1
2013,dante rosario,CHI,2,1,50.0,13,0,2.4,0,0,,0,0,0.0
2013,da'rel scott,NYG,2,2,100.0,17,0,3.6,0,0,,0,0,0.0
2013,matt spaeth,PIT,2,1,50.0,11,1,2.3,1,0,0.0,0,0,2.6
2013,kenny stills,NOR,2,1,50.0,4,0,2.4,1,0,0.0,0,0,2.4
2013,zach sudfeld,2TM,2,0,0.0,0,0,,2,0,0.0,0,0,
2013,jacob tamme,DEN,2,2,100.0,13,1,1.8,1,1,100.0,10,1,1.7
2013,will ta'ufo'ou,JAX,2,1,50.0,-2,0,2.6,2,1,50.0,-2,0,4.9
2013,kerry taylor,JAX,2,1,50.0,14,1,2.6,0,0,,0,0,0.0
2013,deonte thompson,BAL,2,2,100.0,11,0,2.7,1,1,100.0,6,0,2.6
2013,jordan todman,JAX,2,0,0.0,0,0,2.6,2,0,0.0,0,0,4.9
2013,nick toon,NOR,2,0,0.0,0,0,2.4,1,0,0.0,0,0,2.4
2013,joe webb,MIN,2,0,0.0,0,0,3.3,2,0,0.0,0,0,7.7
2013,markus wheaton,PIT,2,0,0.0,0,0,2.3,1,0,0.0,0,0,2.6
2013,myles white,GNB,2,0,0.0,0,0,2.4,2,0,0.0,0,0,4.0
2013,dj williams,2TM,2,0,0.0,0,0,,0,0,,0,0,
2013,jarius wright,MIN,2,0,0.0,0,0,3.3,2,0,0.0,0,0,7.7
2013,darrel young,WAS,2,1,50.0,5,0,3.2,2,1,50.0,5,0,6.3
2013,jared allen,MIN,1,0,0.0,0,0,1.6,1,0,0.0,0,0,3.8
2013,miles austin,DAL,1,1,100.0,8,0,1.5,1,1,100.0,8,0,2.5
2013,kenjon barner,CAR,1,1,100.0,5,0,1.9,0,0,,0,0,0.0
2013,jackie battle,TEN,1,1,100.0,4,0,1.9,1,1,100.0,4,0,3.4
2013,tommy bohanon,NYJ,1,0,0.0,0,0,2.0,1,0,0.0,0,0,4.2
2013,richie brockel,CAR,1,1,100.0,12,0,1.9,0,0,,0,0,0.0
2013,jaron brown,ARI,1,1,100.0,8,1,1.5,1,1,100.0,8,1,3.0
2013,ryan broyles,DET,1,0,0.0,0,0,1.3,0,0,,0,0,0.0
2013,travaris cadet,NOR,1,1,100.0,3,1,1.2,1,1,100.0,3,1,2.4
2013,derrick coleman,SEA,1,1,100.0,8,1,2.0,1,1,100.0,8,1,4.3
2013,austin collie,NWE,1,0,0.0,0,0,1.3,0,0,,0,0,0.0
2013,john conner,NYG,1,0,0.0,0,0,1.8,0,0,,0,0,0.0
2013,tom crabtree,TAM,1,1,100.0,2,1,1.9,1,1,100.0,2,1,3.8
2013,drew davis,ATL,1,1,100.0,4,1,1.1,1,1,100.0,4,1,2.0
2013,kellen davis,SEA,1,1,100.0,1,1,2.0,1,1,100.0,1,1,4.3
2013,larry donnell,NYG,1,0,0.0,0,0,1.8,1,0,0.0,0,0,5.0
2013,jonathan dwyer,PIT,1,1,100.0,7,0,1.1,0,0,,0,0,0.0
2013,marcus easley,BUF,1,1,100.0,9,0,2.7,0,0,,0,0,0.0
2013,michael egnew,MIA,1,1,100.0,7,0,1.6,0,0,,0,0,0.0
2013,tony fiammetta,CHI,1,0,0.0,0,0,1.2,1,0,0.0,0,0,2.2
2013,ryan fitzpatrick,TEN,1,1,100.0,0,0,1.9,1,1,100.0,0,0,3.4
2013,malcom floyd,SDG,1,0,0.0,0,0,1.1,1,0,0.0,0,0,2.3
2013,chase ford,MIN,1,1,100.0,2,0,1.6,0,0,,0,0,0.0
