season,team_x,player_name,gsis_id,snaps,team_snaps,games_played,receptions,rec_yards,rec_tds,targets,air_yards,target_share,touch_perc,yards_after_catch,stand_fp,ppr_fp,half_ppr_fp,adot,team_y,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,DET,nate burleson,00-0021999,502,634.0,9.0,39.0,461.0,1.0,55.0,353.0,10.96,11.35,216.0,52.1,91.1,71.6,6.418181818181818,DET,4.0,4.0,100.0,36.0,1.0,5.3,1.0,1.0,100.0,5.0,1.0,2.9
2013,CAR,ted ginn,00-0025396,502,1029.0,16.0,36.0,556.0,5.0,68.0,1039.0,13.55,14.34,285.0,85.6,121.6,103.6,15.279411764705882,CAR,5.0,2.0,40.0,7.0,1.0,9.4,2.0,1.0,50.0,3.0,1.0,8.7
2013,NYJ,santonio holmes,00-0024240,500,728.0,11.0,23.0,456.0,1.0,59.0,690.0,11.8,11.8,124.0,51.6,74.6,63.1,11.694915254237289,NYJ,4.0,1.0,25.0,8.0,0.0,8.2,2.0,0.0,0.0,0.0,0.0,8.3
2013,SEA,jermaine kearse,00-0029159,470,947.0,15.0,22.0,346.0,4.0,38.0,820.0,8.09,8.09,74.0,58.6,80.6,69.6,21.57894736842105,SEA,10.0,5.0,50.0,43.0,1.0,20.4,4.0,1.0,25.0,-1.0,0.0,17.4
2013,NO,lance moore,00-0023310,441,929.0,13.0,37.0,457.0,2.0,54.0,726.0,12.24,12.24,83.0,57.7,94.7,76.2,13.444444444444445,NOR,6.0,4.0,66.67,41.0,1.0,7.3,1.0,0.0,0.0,0.0,0.0,2.4
2013,MIN,cordarrelle patterson,00-0030578,436,1041.0,16.0,45.0,469.0,4.0,77.0,601.0,17.66,20.41,276.0,70.9,115.9,93.4,7.805194805194805,MIN,12.0,6.0,50.0,36.0,3.0,19.7,5.0,3.0,60.0,15.0,3.0,19.2
2013,IND,reggie wayne,00-0020498,428,463.0,7.0,38.0,503.0,2.0,58.0,600.0,13.55,13.79,158.0,62.300000000000004,100.30000000000001,81.30000000000001,10.344827586206897,IND,7.0,3.0,42.86,24.0,2.0,9.6,3.0,1.0,33.33,5.0,1.0,8.8
2013,LAR,tavon austin,00-0030525,422,836.0,13.0,40.0,418.0,4.0,69.0,552.0,16.35,18.48,230.0,65.80000000000001,105.80000000000001,85.80000000000001,8.0,STL,10.0,4.0,40.0,33.0,2.0,13.5,5.0,3.0,60.0,22.0,2.0,12.5
2013,MIN,jarius wright,00-0029572,417,1041.0,16.0,26.0,434.0,3.0,43.0,618.0,10.31,10.31,118.0,61.400000000000006,87.4,74.4,14.372093023255815,MIN,2.0,0.0,0.0,0.0,0.0,3.3,2.0,0.0,0.0,0.0,0.0,7.7
2013,WAS,aldrick robinson,00-0028116,407,1144.0,16.0,18.0,365.0,2.0,46.0,862.0,11.3,12.04,86.0,48.5,66.5,57.5,18.73913043478261,WAS,2.0,1.0,50.0,12.0,0.0,3.2,1.0,0.0,0.0,0.0,0.0,3.1
2013,ATL,darius johnson,00-0029778,401,662.0,10.0,22.0,210.0,1.0,43.0,362.0,10.72,10.72,83.0,27.0,49.0,38.0,8.418604651162791,ATL,6.0,3.0,50.0,30.0,1.0,6.6,3.0,1.0,33.33,5.0,0.0,6.1
2013,WAS,leonard hankerson,00-0028017,389,739.0,10.0,30.0,375.0,3.0,50.0,500.0,12.85,12.85,131.0,55.5,85.5,70.5,10.0,WAS,6.0,4.0,66.67,34.0,2.0,9.7,3.0,3.0,100.0,23.0,2.0,9.4
2013,NO,robert meachem,00-0025414,389,1058.0,15.0,16.0,324.0,2.0,30.0,683.0,7.71,8.23,97.0,44.4,60.4,52.4,22.766666666666666,,,,,,,,,,,,,
