,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
16,Chris Godwin,TB,WR,4.0,22.2,0.6,95.6,"1,111.9",6.1,1.4,0.0,0.0,0,0.0,0.0
17,Diontae Johnson,PIT,WR,4.5,33.2,0.1,98.4,"1,122.6",6.2,1.5,0.0,0.0,0,0.0,0.0
18,DJ Moore,CAR,WR,6.8,42.7,0.1,86.4,"1,172.4",4.9,0.8,0.0,0.0,0,0.0,0.0
19,DK Metcalf,SEA,WR,0.5,2.5,0.0,77.5,"1,077.5",7.2,0.8,0.0,0.0,0,0.0,0.0
20,Terry McLaurin,WAS,WR,0.5,6.0,0.0,80.3,"1,113.6",6.2,0.7,0.0,0.0,0,0.0,0.0
21,Jerry Jeudy,DEN,WR,3.0,13.7,0.1,78.0,"1,130.1",5.3,0.9,0.0,0.0,0,0.0,0.0
22,Darnell Mooney,CHI,WR,5.1,26.4,0.6,77.2,"1,090.6",5.2,0.7,0.0,0.0,0,0.0,0.0
23,Gabriel Davis,BUF,WR,0.0,0.0,0.0,54.4,873.5,9.4,0.2,0.0,0.0,0,0.0,0.0
24,Brandin Cooks,HOU,WR,3.4,24.9,0.1,91.7,"1,101.2",5.2,0.7,0.0,0.0,0,0.0,0.0
25,Amari Cooper,CLE,WR,0.5,1.5,0.0,80.1,997.3,7.2,0.8,0.0,0.0,0,0.0,0.0
26,Courtland Sutton,DEN,WR,0.5,1.5,0.0,69.6,"1,041.5",6.4,0.7,0.0,0.0,0,0.0,0.0
27,Marquise Brown,ARI,WR,0.5,2.5,0.0,81.8,"1,010.9",6.4,0.9,0.0,0.0,0,0.0,0.0
28,Elijah Moore,NYJ,WR,7.0,70.9,1.1,61.6,863.0,6.2,0.8,0.0,0.0,0,0.0,0.0
29,Allen Robinson II,LAR,WR,0.0,0.0,0.0,74.8,984.1,6.0,0.7,0.0,0.0,0,0.0,0.0
30,DeVonta Smith,PHI,WR,0.0,0.0,0.0,65.7,918.3,6.9,0.7,0.0,0.0,0,0.0,0.0
31,Adam Thielen,MIN,WR,1.0,3.0,0.0,73.2,790.9,8.7,0.8,0.0,0.0,0,0.0,0.0
32,Amon-Ra St. Brown,DET,WR,9.8,70.5,0.8,81.9,876.3,5.3,0.8,0.0,0.0,0,0.0,0.0
33,Tyler Lockett,SEA,WR,2.0,7.9,0.0,78.7,"1,007.4",4.8,0.7,0.0,0.0,0,0.0,0.0
34,Michael Thomas,NO,WR,0.5,-2.0,0.0,81.1,948.7,5.5,0.7,0.0,0.0,0,0.0,0.0
35,JuJu Smith-Schuster,KC,WR,2.5,9.5,1.0,79.7,857.4,5.9,0.8,0.0,0.0,0,0.0,0.0
36,Hunter Renfrow,LV,WR,3.0,12.6,0.1,81.8,850.9,6.8,1.0,0.0,0.0,0,0.0,0.0
37,Rashod Bateman,BAL,WR,0.0,0.0,0.0,74.1,973.8,4.7,0.8,0.0,0.0,0,0.0,0.0
38,Treylon Burks,TEN,WR,5.1,29.0,0.1,61.2,890.8,5.3,1.2,0.0,0.0,0,0.0,0.0
39,Chase Claypool,PIT,WR,13.4,74.4,0.3,62.2,890.0,3.6,0.7,0.0,0.0,0,0.0,0.0
40,Michael Gallup,DAL,WR,0.0,0.0,0.0,58.4,853.2,5.6,0.6,0.0,0.0,0,0.0,0.0
41,Allen Lazard,GB,WR,3.5,28.8,0.1,53.3,691.3,7.7,0.6,0.0,0.0,0,0.0,0.0
42,Drake London,ATL,WR,1.0,4.5,0.0,65.8,922.1,4.4,1.2,0.0,0.0,0,0.0,0.0
43,Robert Woods,TEN,WR,12.2,77.1,1.1,68.7,778.3,4.4,0.7,0.0,0.0,0,0.0,0.0
44,Garrett Wilson,NYJ,WR,2.0,12.1,0.0,58.3,888.4,4.8,1.2,0.0,0.0,0,0.0,0.0
45,Tim Patrick,DEN,WR,0.0,0.0,0.0,56.5,783.0,6.5,0.7,0.0,0.0,0,0.0,0.0
46,Russell Gage,TB,WR,0.5,2.0,0.0,74.1,827.3,5.9,1.3,0.0,0.0,0,0.0,0.0
47,Brandon Aiyuk,SF,WR,3.7,19.1,0.1,60.7,826.1,5.0,0.8,0.0,0.0,0,0.0,0.0
48,Christian Kirk,JAC,WR,1.0,9.5,0.0,78.2,892.2,4.0,0.7,0.0,0.0,0,0.0,0.0
49,Chris Olave,NO,WR,1.5,5.5,0.0,52.8,794.1,5.3,0.7,0.0,0.0,0,0.0,0.0
50,Marquez Valdes-Scantling,KC,WR,1.4,7.4,0.0,43.3,771.9,5.2,0.1,0.0,0.0,0,0.0,0.0
51,Christian Watson,GB,WR,3.0,17.8,0.1,52.0,763.9,5.5,1.2,0.0,0.0,0,0.0,0.0
52,Marvin Jones Jr.,JAC,WR,0.0,0.0,0.0,62.3,714.9,5.9,0.6,0.0,0.0,0,0.0,0.0
53,Kadarius Toney,NYG,WR,10.0,62.0,0.1,70.8,798.3,3.4,0.8,0.0,0.0,0,0.0,0.0
54,Kenny Golladay,NYG,WR,0.0,0.0,0.0,55.8,812.6,4.2,0.7,0.0,0.0,0,0.0,0.0
55,Mecole Hardman,KC,WR,10.4,71.2,0.8,54.9,694.7,4.2,1.3,0.0,0.0,0,0.0,0.0
56,DeVante Parker,NE,WR,0.0,0.0,0.0,56.1,786.9,4.4,0.7,0.0,0.0,0,0.0,0.0
57,Robbie Anderson,CAR,WR,3.8,23.2,0.1,55.5,789.8,3.6,0.3,0.0,0.0,0,0.0,0.0
58,K.J. Osborn,MIN,WR,0.5,4.5,0.0,51.5,679.6,5.8,0.6,0.0,0.0,0,0.0,0.0
59,DeAndre Hopkins,ARI,WR,0.0,1.0,0.0,58.3,694.3,5.3,0.7,0.0,0.0,0,0.0,0.0
